Rank,Country,Population,GDP,GroupGDP,GDPAgri,RankAgri,GDPIndus,RankIndus,GDPServ,RankServ,YearGDP,YearSector,Continent,Development,Happiness
1,United States,"335,942,003",19360000,G1,174240,3,3659040,2,15526720,1,2017,2017,America,Developed country,6977
2,China,"1,424,929,781",11940000,G1,991020,1,4716300,1,6232680,2,2017,2017,Asia,Developed country,5585
3,Japan,"125,244,761",4884000,G2,48840,13,1450548,3,3384612,3,2017,2017,Asia,Developed country,6039
4,Germany,"83,328,988",3652000,G2,21912,31,1099252,4,2530836,4,2016,2017,Europe,Developed country,7034
5,France,"64,480,053",2575000,G2,51500,11,517575,7,2005925,6,2017,2017,Europe,Developed country,6687
6,United Kingdom,"67,059,474",2565000,G2,15390,36,487350,8,2062260,5,2017,2017,Europe,Developed country,6943
7,India,"1,396,387,127",2439000,G2,375606,2,560970,6,1499985,8,2017,2016,Asia,Developing country,3777
8,Brazil,"213,196,304",2081000,G2,129022,4,437010,12,1514968,7,2017,2017,America,Developing country,6293
9,Italy,"59,500,579",1921000,G2,40341,17,461040,10,1419619,9,2017,2017,Europe,Developed country,6467
10,Canada,"37,888,705",1640000,G2,27880,25,460840,11,1151280,10,2017,2017,America,Developed country,7025
11,"Korea, South","51,844,690",1530000,G2,33660,22,601290,5,891990,14,2017,2017,Asia,Developed country,5935
12,Russia,"145,617,329",1469000,G2,69043,7,475956,9,915187,13,2017,2017,Europe,Developing country,5459
13,Australia,"25,670,051",1390000,G2,50040,12,362790,14,977170,11,2017,2017,Oceania,Developed country,7162
14,Spain,"47,363,807",1307000,G2,33982,21,303224,16,969794,12,2017,2017,Europe,Developed country,6476
15,Mexico,"125,998,302",1142000,G2,44538,15,360872,15,730880,15,2017,2017,America,Developing country,6128
16,Indonesia,"271,857,970",923300,G3,128339,5,372090,13,423795,19,2016,2017,Asia,Developing country,5240
17,Turkey,"84,135,428",841200,G3,56360,10,267502,18,516497,17,2017,2017,Europe,Developed country,4744
18,Netherlands,"17,434,557",824500,G3,13192,38,147586,27,578799,16,2017,2017,Europe,Developed country,7415
19,Saudi Arabia,"35,997,107",683700,G3,17776,32,302195,17,363728,22,2017,2017,Asia,Developing country,6523
20,Switzerland,"8,638,613",680600,G3,4764,77,174234,24,501602,18,2017,2017,Europe,Developed country,7512
21,Argentina,"45,036,032",619900,G3,67569,9,174812,23,377519,21,2017,2017,America,Developing country,5967
22,Taiwan,"23,821,464",571500,G3,10287,44,205740,19,354902,23,2017,2017,Asia,Developing country,6512
23,Sweden,"10,368,969",541900,G3,8670,50,178827,22,354403,24,2017,2017,Europe,Developed country,7384
24,Poland,"38,428,366",510000,G3,12240,41,205020,20,292740,26,2017,2017,Europe,Developed country,6123
25,Belgium,"11,561,717",491700,G3,3442,91,107191,32,381068,20,2017,2017,Europe,Developed country,6805
26,Thailand,"71,475,664",437800,G3,35900,18,158484,25,243417,30,2017,2017,Asia,Developing country,5891
27,Iran,"87,290,193",427700,G3,41915,16,153544,26,232241,34,2017,2017,Asia,Developing country,4888
28,Austria,"8,907,777",409300,G3,4912,75,116241,30,288147,27,2017,2017,Europe,Developed country,7163
29,Nigeria,"208,327,405",394800,G3,85277,6,72248,47,237275,32,2017,2017,Africa,Developing country,4552
30,Norway,"5,379,839",392100,G3,9410,47,121943,29,260747,28,2017,2017,Europe,Developed country,7365
31,United Arab Emirates,"9,287,289",378700,G3,3408,92,188593,21,186320,39,2017,2017,Asia,Developing country,6576
32,Israel,"8,757,489",348000,G3,8004,55,92568,36,241860,31,2017,2017,Asia,Developing country,7364
33,South Africa,"58,801,927",344100,G3,9635,45,102198,33,232268,33,2017,2017,Africa,Developing country,5194
34,Hong Kong,"7,500,958",341400,G3,341,157,24581,68,316478,25,2017,2017,Asia,Developing country,5425
35,Ireland,"4,946,119",325600,G3,3256,93,124379,28,197639,36,2017,2017,Europe,Developing country,7041
36,Denmark,"5,825,641",324100,G3,3565,90,76812,42,243723,29,2017,2017,Europe,Developing country,7636
37,Philippines,"112,190,977",313400,G3,30086,23,95900,35,187413,38,2017,2017,Asia,Developing country,5904
38,Malaysia,"33,199,993",309900,G3,26032,27,114353,31,169515,41,2017,2017,Asia,Developing country,5711
39,Colombia,"50,930,662",307500,G3,22755,30,96248,34,188805,37,2017,2017,America,Developing country,5781
40,Singapore,"5,909,869",305800,G3,0,0,75838,45,229962,35,2017,2017,Asia,Developing country,6480
41,Pakistan,"227,196,741",278900,G3,68888,8,53270,55,157021,45,2016,2017,Asia,Developing country,4516
42,Chile,"19,300,315",263200,G3,11581,43,82645,38,169238,42,2017,2017,America,Developing country,6172
43,Finland,"5,529,468",252500,G3,6818,62,70195,49,175488,40,2017,2017,Europe,Developed country,7821
44,Bangladesh,"167,420,951",246600,G3,35017,19,72007,48,139329,47,2017,2017,Asia,Developing country,5155
45,Vietnam,"96,648,685",223300,G3,34165,20,74359,46,92223,55,2017,2017,Asia,Developing country,5485
46,Venezuela,"28,490,453",215300,G3,9473,46,82245,39,123582,50,2017,2017,America,Developing country,4925
47,Portugal,"10,298,192",210000,G3,15750,35,76230,43,117810,51,2017,2017,Europe,Developing country,6016
48,Peru,"33,304,756",209700,G3,5243,71,79267,40,125191,49,2017,2017,America,Developing country,5559
49,Czech Republic,"10,530,953",204900,G3,8606,51,68027,51,128267,48,2017,2017,Europe,Developing country,6920
50,Romania,"19,442,038",204300,G3,8172,54,32688,62,163440,43,2017,2017,Europe,Developing country,6477
51,Greece,"10,512,232",200800,G3,7831,56,52610,56,140359,46,2017,2017,Europe,Developing country,5948
52,New Zealand,"5,061,133",193700,G3,23050,29,64115,52,107891,52,2017,2017,Oceania,Developing country,7200
53,Egypt,"107,465,134",192700,G3,9250,49,78236,41,105214,53,2017,2017,Asia,Developing country,4288
54,Iraq,"42,556,984",175500,G3,23166,28,63356,53,88979,56,2017,2017,Africa,Developing country,4941
55,Algeria,"43,451,666",166300,G3,333,158,83649,37,82319,58,2017,2017,Africa,Developing country,5122
56,Qatar,"2,760,385",156200,G3,7498,58,53733,54,94970,54,2017,2017,Asia,Developing country,0
57,Kazakhstan,"18,979,243",132000,G3,5808,68,40788,59,85404,57,2017,2017,Asia,Developing country,6234
58,Hungary,"9,750,573",124000,G3,12648,39,76136,44,35216,79,2017,2011,Europe,Developing country,6086
59,Angola,"33,428,485",119000,G3,47124,14,3094,132,68782,60,2017,2017,Africa,Uderdeveloped country,0
60,Sudan,"44,440,486",118300,G3,473,150,69442,50,48385,69,2017,2017,Africa,Uderdeveloped country,0
61,Kuwait,"4,360,444",110700,G3,16384,34,32214,64,61992,61,2017,2017,Asia,Developing country,6106
62,Morocco,"36,688,772",104100,G3,14574,37,28940,65,60586,62,2017,2017,Europe,Developing country,5060
63,Ukraine,"43,909,666",103200,G3,826,138,51703,57,50671,67,2017,2017,Europe,Developing country,5084
64,Puerto Rico,"3,271,564",100900,G3,7769,57,35517,60,57412,64,2017,2017,America,Developing country,0
65,Ecuador,"17,588,595",95000,G4,3610,88,33250,61,58140,63,2017,2017,America,Developing country,5533
66,Slovakia,"5,456,681",93790,G4,3658,87,20165,73,69592,59,2017,2017,Europe,Developing country,6391
67,Cuba,"11,300,698",83570,G4,6518,64,25489,66,51563,66,2017,2017,America,Developing country,0
68,Sri Lanka,"21,715,079",79740,G4,28547,24,17702,77,33491,81,2017,2017,Asia,Developing country,4362
69,Ethiopia,"117,190,911",78290,G4,27636,26,13466,85,37501,78,2017,2017,Africa,Developing country,4241
70,Kenya,"51,985,780",74870,G4,4118,82,25306,67,45521,70,2017,2017,Africa,Uderdeveloped country,4543
71,Dominican Republic,"10,999,664",71930,G4,1223,127,32512,63,38123,76,2017,2017,America,Developing country,0
72,Oman,"4,543,399",70810,G4,9347,48,16711,78,44752,72,2017,2017,Asia,Developing country,0
73,Guatemala,"17,362,718",67510,G4,12489,40,23223,70,31730,83,2017,2017,America,Developing country,6262
74,Uzbekistan,"33,526,656",66970,G4,16609,33,23707,69,26721,87,2017,2017,Asia,Developing country,6063
75,Myanmar,"53,423,198",63520,G4,127,178,7559,102,55834,65,2017,2017,Asia,Developing country,4394
76,Luxembourg,"630,399",60270,G4,3737,86,15068,82,41466,74,2017,2017,Europe,Developing country,7404
77,Uruguay,"3,429,086",59050,G4,1417,122,9271,97,48421,68,2017,2017,America,Developing country,6474
78,Panama,"4,294,396",58910,G4,3240,94,12371,89,43299,73,2017,2017,America,Developing country,6309
79,Costa Rica,"5,123,105",55950,G4,2406,107,15666,80,37878,77,2017,2017,America,Developing country,6582
80,Bulgaria,"6,979,175",54480,G4,1798,114,18687,76,34268,80,2017,2017,Europe,Developing country,5371
81,Croatia,"4,096,868",52780,G4,4381,80,21429,71,26971,86,2017,2017,Europe,Developing country,6125
82,Belarus,"9,633,740",52700,G4,3004,98,11067,94,38629,75,2017,2017,Europe,Developing country,5821
83,Lebanon,"5,662,923",51610,G4,12077,42,14760,83,24566,90,2017,2017,Asia,Developing country,2955
84,Tanzania,"61,704,518",51160,G4,0,0,5781,111,45379,71,2017,2016,Africa,Uderdeveloped country,3702
85,Macau,"676,283",48080,G4,865,135,15482,81,31685,84,2017,2017,Asia,Developing country,0
86,Slovenia,"2,117,641",46670,G4,1540,117,13301,87,31876,82,2017,2017,Europe,Developing country,6630
87,Lithuania,"2,820,267",45460,G4,8319,53,11138,93,26003,88,2017,2017,Africa,Developing country,6446
88,Ghana,"32,180,401",41670,G4,3125,96,18710,75,19877,94,2017,2017,Africa,Developing country,4872
89,Turkmenistan,"6,250,438",40490,G4,1741,116,11702,90,27047,85,2017,2017,Asia,Developing country,5474
90,Jordan,"10,928,721",40420,G4,8529,52,13339,86,18553,97,2017,2017,Asia,Developing country,4152
91,DR Congo,"92,853,164",39910,G4,6944,61,11494,91,21472,92,2017,2017,Africa,Uderdeveloped country,5075
92,Cote d'Ivoire,"27,478,249",39880,G4,3948,83,10209,95,25523,89,2017,2017,Africa,Uderdeveloped country,0
93,Tunisia,"12,161,723",39370,G4,3858,85,16181,79,19331,95,2017,2017,Europe,Developing country,4516
94,Serbia,"7,358,005",39210,G4,2431,105,19252,74,17527,102,2017,2017,Europe,Developing country,6178
95,Azerbaijan,"10,284,951",37820,G4,4917,74,14145,84,18910,96,2017,2017,Asia,Developing country,5173
96,Bolivia,"11,936,162",33870,G4,102,181,12938,88,20830,93,2017,2017,America,Developing country,5600
97,Bahrain,"1,477,469",33310,G4,433,153,21252,72,11625,112,2017,2017,Asia,Developing country,6647
98,Libya,"6,653,942",30650,G4,7080,60,8582,100,14988,106,2017,2017,Africa,Uderdeveloped country,5330
99,Cameroon,"26,491,087",30180,G4,966,133,6519,107,22695,91,2017,2017,Africa,Developing country,5048
100,Latvia,"1,897,052",28780,G4,5152,72,7972,101,15685,104,2017,2017,Europe,Developing country,6180
101,Paraguay,"6,618,695",28000,G4,7112,59,11480,92,9380,121,2013,2017,America,Developing country,5578
102,"Korea, North","25,867,467",27410,G4,2905,100,6743,106,17789,100,2017,2017,Asia,Developing country,0
103,El Salvador,"6,292,731",26390,G4,6809,63,6122,110,13459,108,2017,2016,Europe,Developing country,6120
104,Uganda,"44,404,611",25680,G4,873,134,7139,104,17668,101,2017,2017,Africa,Uderdeveloped country,4603
105,Estonia,"1,329,444",25670,G4,6186,66,3671,123,15813,103,2017,2017,Europe,Developing country,6341
106,Yemen,"32,284,046",25580,G4,1381,123,9106,98,15092,105,2017,2017,Asia,Developing country,4197
107,Zambia,"18,927,715",24850,G4,1441,120,4920,114,18488,98,2017,2017,Africa,Uderdeveloped country,3760
108,Iceland,"366,669",24600,G4,4920,73,4822,116,14858,107,2014,2017,Europe,Developing country,7557
109,Syria,"20,772,595",24070,G4,6499,65,3249,129,12396,110,2017,2017,Asia,Developing country,0
110,Nepal,"29,348,627",22680,G4,3130,95,6441,108,13109,109,2017,2017,Asia,Developing country,5377
111,Honduras,"10,121,763",22250,G4,5629,70,7298,103,9323,122,2017,2017,America,Developing country,6022
112,Cambodia,"16,396,860",21110,G4,486,149,2322,140,18323,99,2017,2017,Asia,Developing country,4640
113,Cyprus,"1,237,537",21060,G4,4844,76,4444,119,11773,111,2017,2016,Europe,Developing country,6221
114,Afghanistan,"38,972,230",20300,G4,81,191,9906,96,10312,117,2017,2017,Asia,Developing country,2404
115,Trinidad and Tobago,"1,518,147",20210,G4,4466,79,8670,99,7074,129,2016,2017,America,Developing country,0
116,Papua New Guinea,"9,749,640",17460,G4,1362,124,4679,117,11419,114,2017,2017,Oceania,Uderdeveloped country,0
117,Bosnia and Herzegovina,"3,318,407",17150,G4,3584,89,5694,112,7872,126,2017,2017,Europe,Developing country,5768
118,Laos,"7,319,399",17110,G4,2139,109,4603,118,10369,116,2017,2017,Asia,Developing country,5140
119,Zimbabwe,"15,669,666",16730,G4,284,163,4885,115,11560,113,2017,2017,Africa,Uderdeveloped country,2995
120,Botswana,"2,546,402",16060,G4,2714,103,3903,122,9443,120,2017,2017,Africa,Developing country,3471
121,Senegal,"16,436,119",15230,G4,1462,119,3564,124,10082,119,2017,2017,Africa,Uderdeveloped country,5046
122,Georgia,"3,765,912",15000,G4,6135,67,2835,136,6030,137,2017,2017,Europe,Developing country,4973
123,Mali,"21,224,040",14720,G4,1119,130,3415,127,10186,118,2017,2017,Africa,Uderdeveloped country,4479
124,Jamaica,"2,820,436",14470,G4,651,143,6367,109,7452,127,2017,2017,America,Developing country,5850
125,Gabon,"2,292,573",13690,G4,2122,110,3340,128,6955,132,2017,2017,Africa,Uderdeveloped country,4958
126,Nicaragua,"6,755,895",13190,G4,4208,81,2902,134,6081,136,2017,2017,America,Developing country,6165
127,Burkina Faso,"21,522,626",13000,G4,2938,99,3094,131,6981,131,2017,2017,Africa,Uderdeveloped country,4670
128,Albania,"2,866,849",12560,G4,829,137,3240,130,8491,124,2017,2017,Europe,Developing country,5199
129,Namibia,"2,489,098",12350,G4,2754,102,2841,135,6755,134,2017,2017,Africa,Developing country,4459
130,Mozambique,"31,178,239",12270,G4,491,148,2675,138,9104,123,2017,2017,Africa,Uderdeveloped country,5048
131,Mauritius,"1,297,828",12010,G4,156,172,1273,155,10581,115,2017,2016,Asia,Developing country,6071
132,Malta,"515,357",11960,G4,144,173,6757,105,5059,144,2017,2017,Europe,Developing country,6447
133,Brunei,"441,725",11420,G4,1142,128,3426,126,6852,133,2017,2017,Asia,Developing country,0
134,Macedonia,"2,065,092",11040,G4,1954,112,3069,133,6017,138,2017,2017,Europe,Developing country,0
135,Armenia,"2,805,608",10910,G4,2586,104,1746,148,6579,135,2017,2017,Asia,Developing country,5399
136,Madagascar,"28,225,177",10870,G4,1435,121,3924,121,5511,142,2017,2017,Africa,Developing country,4339
137,Mongolia,"3,294,335",10070,G4,252,166,5690,113,4129,152,2017,2017,Asia,Developing country,5761
138,Equatorial Guinea,"1,596,049",9828,G5,295,162,2074,143,7371,128,2014,2017,Africa,Developing country,0
139,West Bank and Gaza,"4,922,749",9770,G5,137,177,2589,139,7034,130,2017,2017,Asia,Uderdeveloped country,0
140,New Caledonia,"286,403",9740,G5,5747,69,1373,152,2630,166,2017,2017,Africa,Uderdeveloped country,0
141,Chad,"16,644,701",9410,G5,2409,106,2174,142,4827,145,2017,2017,Africa,Uderdeveloped country,4251
142,Benin,"12,643,123",9183,G5,1791,115,3526,125,3866,155,2017,2017,Africa,Uderdeveloped country,4623
143,Guinea,"13,205,153",9127,G5,210,169,703,173,8214,125,2017,2017,Africa,Uderdeveloped country,4891
144,Bahamas,"406,471",8918,G5,2756,101,1570,151,4593,150,2017,2017,America,Developing country,0
145,Rwanda,"13,146,362",8360,G5,1831,113,1739,149,4790,146,2017,2017,America,Uderdeveloped country,3268
146,Haiti,"11,306,801",8132,G5,992,132,1187,156,5953,139,2017,2017,America,Developing country,0
147,Moldova,"3,084,847",7799,G5,694,142,3962,120,3143,163,2017,2017,Europe,Developing country,5857
148,Niger,"24,333,639",7335,G5,3044,97,1328,154,2963,165,2016,2016,Africa,Uderdeveloped country,5003
149,Tajikistan,"9,543,207",7234,G5,2069,111,1845,145,3320,162,2017,2017,Asia,Developing country,5377
150,Kyrgyzstan,"6,424,874",7061,G5,1010,131,2295,141,3756,157,2017,2017,Asia,Developing country,5828
151,Isle of Man,"84,046",6792,G5,68,192,883,166,5841,140,2015,FY12/13,Europe,Uderdeveloped country,0
152,Kosovo,"1,786,038",6684,G5,795,139,1183,157,4706,148,2017,2017,Europe,Developing country,6455
153,Liechtenstein,"38,756",6672,G5,467,151,2736,137,3469,160,2014,2014,Europe,Developing country,0
154,Somalia,"16,537,016",6522,G5,3926,84,483,179,2120,170,2017,2013,Africa,Uderdeveloped country,0
155,Bermuda,"64,031",6127,G5,49,197,355,181,5716,141,2016,2017,America,Uderdeveloped country,0
156,Eritrea,"3,555,868",6050,G5,708,141,1791,147,3551,159,2017,2017,Africa,Uderdeveloped country,0
157,Monaco,"36,922",6006,G5,0,0,841,169,5165,143,2015,2013,Europe,Uderdeveloped country,0
158,Guam,"169,231",5793,G5,0,0,0,0,0,0,2016,0,Oceania,Uderdeveloped country,0
159,Curacao,"189,288",5600,G5,39,200,868,167,4693,149,2012,2012,America,Uderdeveloped country,0
160,Malawi,"19,377,061",5433,G5,1527,118,858,168,3048,164,2016,2016,Africa,Uderdeveloped country,3750
161,Virgin Islands,"103,998",5182,G5,104,180,1036,160,4042,154,2016,2012,America,Uderdeveloped country,0
162,Fiji,"920,422",5054,G5,536,146,905,165,3614,158,2017,2017,Oceania,Uderdeveloped country,0
163,Mauritania,"4,498,604",4985,G5,1122,129,1884,144,1979,174,2017,2017,Africa,Uderdeveloped country,4153
164,Jersey,"108,319",4960,G5,99,183,99,201,4762,147,2015,2010,Europe,Uderdeveloped country,0
165,Barbados,"280,693",4821,G5,67,193,231,190,4522,151,2017,2016,America,Uderdeveloped country,0
166,Togo,"8,442,580",4797,G5,1348,126,1036,161,2413,167,2017,2017,Africa,Uderdeveloped country,4112
167,French Polynesia,"301,920",4795,G5,120,179,623,176,4052,153,2015,2009,Europe,Uderdeveloped country,0
168,Maldives,"514,438",4648,G5,139,175,744,171,3765,156,2017,2015,Asia,Uderdeveloped country,0
169,Montenegro,"629,048",4405,G5,330,159,700,174,3374,161,2017,2016,Europe,Uderdeveloped country,5547
170,Eswatini,"1,180,655",4030,G5,262,164,1814,146,1959,175,2017,2017,Africa,Uderdeveloped country,4396
171,Sierra Leone,"8,233,969",3897,G5,2365,108,253,187,1282,184,2017,2017,Africa,Uderdeveloped country,3574
172,Suriname,"607,065",3665,G5,425,154,1140,158,2104,171,2017,2017,America,Uderdeveloped country,0
173,Guyana,"797,202",3591,G5,628,144,1357,153,1605,179,2017,2017,America,Uderdeveloped country,0
174,Burundi,"12,220,227",3393,G5,1357,125,543,178,1496,181,2017,2017,Africa,Uderdeveloped country,0
175,Gaza Strip,"2,375,359",2938,G5,88,186,620,177,2204,169,2014,2017,Asia,Uderdeveloped country,0
176,South Sudan,"10,606,227",2915,G5,0,0,0,0,0,0,2017,0,Africa,Uderdeveloped country,0
177,Faroe Islands,"52,415",2765,G5,498,147,1078,159,1189,188,2014,2013,Europe,Uderdeveloped country,0
178,Guernsey,"62,794",2742,G5,82,190,274,186,2386,168,2005,2000,Europe,Uderdeveloped country,0
179,Lesotho,"2,254,100",2721,G5,144,174,941,163,1635,178,2017,2017,Africa,Uderdeveloped country,3512
180,Timor-Leste,"1,299,995",2716,G5,255,165,1570,150,891,194,2017,2017,Asia,Developing country,0
181,Andorra,"77,700",2712,G5,323,161,911,164,1478,182,2016,2015,Europe,Developing country,0
182,Aruba,"106,585",2516,G5,10,206,838,170,1668,176,2009,2002,America,Developing country,0
183,Bhutan,"772,506",2321,G5,364,155,989,162,968,192,2017,2017,Asia,Developing country,0
184,Cayman Islands,"67,311",2250,G5,7,211,169,195,2054,172,2008,2017,Europe,Uderdeveloped country,0
185,Greenland,"56,026",2221,G5,353,156,224,192,1641,177,2015,2015,Europe,Developing country,0
186,Liberia,"5,087,584",2140,G5,773,140,225,191,1143,189,2017,2017,Africa,Uderdeveloped country,5122
187,Djibouti,"1,090,156",2082,G5,58,194,437,180,1584,180,2017,2017,Africa,Uderdeveloped country,0
188,Gibraltar,"32,709",2044,G5,0,0,0,0,2044,173,2014,2016,Europe,Developing country,0
189,Central African Republic,"5,343,020",1992,G5,855,136,317,182,821,196,2017,2017,Africa,Uderdeveloped country,0
190,Belize,"394,921",1819,G5,176,171,251,188,1131,190,2017,2017,America,Uderdeveloped country,0
191,Cabo Verde,"582,640",1728,G5,137,176,309,184,1282,185,2017,2017,Europe,Uderdeveloped country,0
192,Saint Lucia,"179,237",1717,G5,50,196,244,189,1422,183,2017,2017,America,Uderdeveloped country,0
193,San Marino,"34,007",1633,G5,2,216,640,175,991,191,2017,2009,Europe,Uderdeveloped country,0
194,Antigua and Barbuda,"92,664",1535,G5,35,202,310,183,1190,187,2017,2017,America,Uderdeveloped country,0
195,Seychelles,"105,530",1479,G5,37,201,204,193,1238,186,2017,2017,Africa,Uderdeveloped country,0
196,Guinea Bissau,"2,015,828",1295,G5,571,145,167,196,557,201,2017,2017,Africa,Uderdeveloped country,0
197,Solomon Islands,"691,191",1273,G5,437,152,97,202,740,197,2017,2017,Oceania,Uderdeveloped country,0
198,Northern Mariana Islands,"49,587",1242,G5,21,203,722,172,499,204,2016,2016,Oceania,Uderdeveloped country,0
199,Grenada,"123,663",1111,G5,101,182,158,197,852,195,2017,2017,America,Uderdeveloped country,0
200,Gambia,"2,573,995",1038,G5,212,168,147,198,679,198,2017,2017,Africa,Uderdeveloped country,5164
201,British Virgin Islands,"30,910",1028,G5,10,205,115,200,903,193,2017,2017,Europe,Uderdeveloped country,0
202,Saint Kitts and Nevis,"47,642",939,G5,10,209,282,185,647,199,2017,2017,America,Uderdeveloped country,0
203,Samoa,"214,929",844,G5,88,185,199,194,557,202,2017,2017,Oceania,Uderdeveloped country,0
204,Vanuatu,"311,685",837,G5,226,167,76,208,535,203,2017,2017,Oceania,Uderdeveloped country,0
205,Saint Vincent and the Grenadines,"104,632",815,G5,58,195,142,199,615,200,2017,2017,America,Uderdeveloped country,0
206,Comoros,"806,166",659,G5,326,160,78,207,255,209,2017,2017,Africa,Uderdeveloped country,4609
207,American Samoa,"46,189",658,G5,180,170,82,206,396,207,2016,2012,America,Uderdeveloped country,0
208,Dominica,"71,995",608,G5,93,184,83,205,432,206,2017,2017,America,Uderdeveloped country,5737
209,Saint Martin,"32,552",562,G5,6,213,84,204,472,205,2005,2000,America,Uderdeveloped country,0
210,Tonga,"105,254",437,G5,85,189,91,203,261,208,2017,2017,Oceania,Uderdeveloped country,0
211,Sao Tome and Principe,"218,641",343,G5,40,199,51,212,252,210,2017,2017,Africa,Uderdeveloped country,0
212,Micronesia,"112,106",329,G5,87,187,62,209,180,215,2017,2013,Oceania,Uderdeveloped country,0
213,Palau,"17,972",321,G5,10,207,61,210,250,211,2017,2016,Oceania,Uderdeveloped country,0
214,Sint Maarten,"43,621",304,G5,1,218,56,211,247,212,2014,2008,America,Uderdeveloped country,0
215,Cook Islands,"17,029",300,G5,15,204,38,215,246,213,2016,2010,Oceania,Uderdeveloped country,0
216,Saint Pierre and Miquelon,"5,906",261,G5,5,214,39,213,217,214,2015,2006,America,Uderdeveloped country,0
217,Falkland Islands,"3,747",206,G5,85,188,0,0,0,0,2015,2015,America,Uderdeveloped country,0
218,Marshall Islands,"43,413",199,G5,9,210,20,217,171,216,2017,2013,Oceania,Uderdeveloped country,0
219,Kiribati,"126,463",186,G5,43,198,13,218,130,218,2017,2016,Oceania,Uderdeveloped country,0
220,Anguilla,"15,585",175,G5,4,215,37,216,134,217,2009,2017,Europe,Uderdeveloped country,0
221,Nauru,"12,315",114,G5,7,212,38,214,69,219,2017,2009,Oceania,Uderdeveloped country,0
222,Tuvalu,"11,069",40,G5,10,208,2,220,28,220,2017,2012,Oceania,Uderdeveloped country,0
223,Niue,"1,942",10,G5,2,217,3,219,5,221,2003,2003,Oceania,Uderdeveloped country,0
